proposal_number,co_amt
C11873,1901228.2799999998
C12372R,969977.5
C12623,641849.8
C12854,205808.80000000002
C13141-ALT,2000685.05
C13192,0.0
C13385,31158.3
C13393,160174.38
C13472,-3661.25
C13590,0.0
C13808,-87084.96
C14089-ALT,-19342.17
C14551RA-ALT,1204303.42
C14811,-14973.81
C14839,0.0
C14959-ALT,956281.95
C14976,-122833.82
C15042,1138080.02
C15049,-67316.28
C15069,-24928.79999999999
C15339,2493591.4299999997
C15402,2712811.2800000003
C15491,-225674.39
C15494,105355.0
C15504,-203439.08
C15511,0.0
C15548,9790.3
C15555,764361.49
C15564S,-10150.0
C15575,0.0
C15653,546792.0800000001
C15666,1086743.0
C15676,92720.74
C15697,355604.46
C15746,-600.0
C15790A,3105211.6500000004
C15827,1234664.7
C15835,1976708.56
C15898,1604718.7
C15901,119880.0
C15915,-2484.0
C15950,-22641.94
C16025,0.0
C16035R,0.0
C16042A,1744532.94
C16068,209642.93000000002
C16100,94800.0
C16170,-15253.630000000001
C16212,2456000.0
C16214,232971.57
C16222,390355.73000000004
C16259-ALT,4350145.470000001
C16262,1602915.65
C16273,-260.0
C16275,705704.8
C16357,2654480.62
C16376,1022843.3200000001
C16386,0.0
C16390,61008.2
C16416,150000.0
C16417,2623098.0900000003
C16421R,0.0
C16439,320747.0200000001
C16446,0.0
C16493,59366.97
C16522,-7156.92
C16555,186173.7
C16596,70532.05
C16602,1380312.1300000001
C16625,18160.43
C16639,2256037.83
C16650,1715743.75
C16657,2096739.0499999998
C16664,1638614.65
C16679,2230225.96
C16689,-3609.29
C16690,-24480.36
C16696,1116042.78
C16697,143705.0
C16698,337494.95
C16700,209827.29
C16737,5000.0
C16751,303072.45
C16756,373766.1
C16762,21701.949999999997
C16766,51500.0
C16807,169091.6
C16819,107668.75
C16884,628663.3200000001
C16909R,-36818.09
C16941,0.0
C16967,0.0
C16982,0.0
C16989,711224.1
C17006,161431.03
C17010,250000.0
C17014,506980.54
C17015,35054.06
C17018,3569983.52
C17021,986005.92
C17024,-241869.0
C17031,9500.0
C17033,885302.51
C17046,484300.0
C17048,36018.95
C17070,124339.18
C17072,144413.86000000002
C17083,8122707.21
C17100,0.0
C17109,0.0
C17110,-136508.97999999995
C17113,1111168.35
C17115,1495.95
C17117,0.0
C17121,154883.0
C17136R-ALT,2064099.2
C17137,113875.0
C17138-ALT,1324582.86
C17148,340641.32
C17163,230525.0
C17167,-336.57
C17168,815978.2
C17169,220877.7
C17170,5542295.41
C17172,0.0
C17174,47345.97
C17184,1059878.71
C17187,18461.920000000002
C17193,124000.0
C17195,28380.0
C17198,23029.0
C17208,39125.0
C17214,0.0
C17216,526150.0
C17221,966491.75
C17242,491462.21
C17243,0.0
C17245,0.0
C17248,40186.0
C17249,0.0
C17253,-7426.0
C17254R,202153.0
C17255,7618.19
C17256,2964825.0100000002
C17261,695692.01
C17263,230460.0
C17264,357031.13
C17265,711887.46
C17268,79500.0
C17269,490266.48
C17271,0.0
C17278,242786.97
C17280,1457408.26
C17282,1140923.1600000001
C17303,1128960.3
C17304,-10559.21
C17314,240615.47
C17315,547300.0
C17316,489100.0
C17318,1619372.21
C17332,-6125.0
C17353,980424.0
C17357,1481863.36
C17358,743772.4900000001
C17361,954401.7
C17366,63200.0
C17391,1137606.37
C17393R,18200.0
C17395,74000.0
C17407,1296.8100000000004
C17409,71300.0
C17410,20478.29
C17416,0.0
C17437,404045.26999999996
C17442,140340.97
C17451,20500.0
C17452,197547.1
C17477,113250.0
C17489,903631.37
C17495,667000.0
C17498,99377.0
C17518,67909.46
C17523,59109.0
C17524,145000.0
C17530,923308.0
C17533,201515.0
C17535,803495.57
C17537,1272149.9
C17545,86200.0
C17546,112800.0
C17550,-366121.45
C17558,630579.4299999999
C17559,591161.8099999999
C17583,1335873.0899999999
C17600,148300.0
C17601,118300.0
C17604,-37679.4
C17615,445300.0
C17616,655093.0
C17617A,1096160.48
C17619,364033.0
C17620,22770.0
C17622,1194332.5700000003
C17627,222003.89
C17635,1298282.67
C17636R,277147.77
C17637,674116.5
C17641R,217905.46
C17642,93480.57
C17647,92503.13
C17648,972300.92
C17653,118900.0
C17654,136300.0
C17655,-100367.2
C17656,32423.440000000002
C17657,60300.0
C17658,54025.0
C17664,68100.0
C17665,1229605.24
C17667,799190.3
C17668,-44152.21000000002
C17669,131524.0
C17670,839813.9099999999
C17671,310777.56
C17672R,244598.66
C17674,191936.0
C17675,777840.0199999999
C17679-ALT,1534677.34
C17682R,63200.0
C17683,51635.26
C17684,64700.0
C17685,260031.65
C17690,35200.0
C17691,25150.0
C17692,15061.7
C17693,36000.0
C17694,48900.0
C17698,164800.0
C17700,407081.0
C17701,208948.28
C17702,918183.35
C17703,83705.0
C17704,423779.0
C17711,253300.0
C17716,60000.0
C17717,163049.0
C17718,1280029.51
C17734,501085.77999999997
C17735,944361.53
C17738A,402565.09
C17739R,523577.0
C17746,2252214.86
C17757,3223166.86
C17760,278352.3
C17763,356700.0
C17764,564100.0
C17765,1369515.49
C17766,2331919.1999999997
C17767,386776.31
C17768,199569.0
C17770,37300.0
C17772,743480.0
C17776,356822.75
C17777,46425.0
C17778R,363709.81
C17779,-13669.0
C17783-ALT,7234678.78
C17788,1280450.72
C17791,67325.0
C17797,200000.0
C17798,280061.0
C17800S,957413.09
C17804,212433.66
C17807,138497.93
C17809,124082.3
C17810,18120.42
C17811,25700.0
C17813,1422925.1
C17815,61300.0
C17818,1065744.31
C17821,309140.0
C17823,677506.0
C17824,459614.0
C17825,1098467.0
C17826,1482950.0
C17827,590116.0
C17835,760920.0
C17837,558201.75
C17843,954583.4
C17846,1682450.0
C17847,1330463.7400000002
C17857,130220.0
C17860,1347206.56
C17864,1735539.44
C17866,2163525.14
C17884,731256.0
C17889,262674.0
C17890,1116844.0
C17891,546655.08
C17902,446074.5
C17916,248000.0
C17936,93500.0
C17938,76100.0
C17949,35600.0
C17951R-ALT,463095.42000000004
C17952,519420.23000000004
