Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
159C,C13970R-ALT A,KIEWIT WESTERN CO.,"$11,117,898.98","$9,692,453.81","$1,425,445.17",14.71%,0,1/20/2005
,C13970R-ALT A Average,,,,"$1,425,445.17",14.71%,,
074A,C14951,CRUZ CONSTRUCTION INCORPORATED,"$1,697,764.32","$1,006,169.00","$691,595.32",68.74%,0,1/27/2005
447A,C14951,IDEAL FENCING CORPORATION,"$1,243,328.10","$1,006,169.00","$237,159.10",23.57%,1,1/27/2005
159C,C14951,KIEWIT WESTERN CO.,"$1,854,136.00","$1,006,169.00","$847,967.00",84.28%,0,1/27/2005
,C14951 Average,,,,"$592,240.47",58.86%,,
060A,MM3022,"HIGHWAY TECHNOLOGIES, INC.","$783,966.60","$695,544.00","$88,422.60",12.71%,0,1/27/2005
595A,MM3022,ROAD SAFE,"$726,422.00","$695,544.00","$30,878.00",4.44%,1,1/27/2005
,MM3022 Average,,,,"$59,650.30",8.58%,,
017A,C14611,ASPHALT PAVING CO.,"$1,009,401.00","$782,312.60","$227,088.40",29.03%,0,2/3/2005
924A,C14611,"ASPHALT SPECIALTIES CO., INC.","$824,785.60","$782,312.60","$42,473.00",5.43%,0,2/3/2005
032A,C14611,"BRANNAN SAND AND GRAVEL, LLC","$781,716.56","$782,312.60",-$596.04,-0.08%,1,2/3/2005
1275A,C14611,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$882,236.45","$782,312.60","$99,923.85",12.77%,0,2/3/2005
159C,C14611,KIEWIT WESTERN CO.,"$857,258.10","$782,312.60","$74,945.50",9.58%,0,2/3/2005
S2881,C14611,"PREMIER PAVING, INC.","$796,262.20","$782,312.60","$13,949.60",1.78%,0,2/3/2005
,C14611 Average,,,,"$76,297.39",9.75%,,
028B,C14621,"AGGREGATE INDUSTRIES - WCR, INC.","$499,057.15","$406,544.30","$92,512.85",22.76%,0,2/3/2005
017A,C14621,ASPHALT PAVING CO.,"$402,424.72","$406,544.30","-$4,119.58",-1.01%,0,2/3/2005
924A,C14621,"ASPHALT SPECIALTIES CO., INC.","$479,076.10","$406,544.30","$72,531.80",17.84%,0,2/3/2005
032A,C14621,"BRANNAN SAND AND GRAVEL, LLC","$387,890.95","$406,544.30","-$18,653.35",-4.59%,1,2/3/2005
159C,C14621,KIEWIT WESTERN CO.,"$458,586.60","$406,544.30","$52,042.30",12.80%,0,2/3/2005
163A,C14621,LAFARGE NORTH AMERICA INC.,"$539,380.55","$406,544.30","$132,836.25",32.67%,0,2/3/2005
547A,C14621,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY",,"$406,544.30","-$406,544.30",0.00%,0,2/3/2005
S2881,C14621,"PREMIER PAVING, INC.","$434,231.50","$406,544.30","$27,687.20",6.81%,0,2/3/2005
,C14621 Average,,,,"-$6,463.35",10.91%,,
028B,C14632,"AGGREGATE INDUSTRIES - WCR, INC.","$2,555,806.67","$2,582,917.00","-$27,110.33",-1.05%,1,2/3/2005
017A,C14632,ASPHALT PAVING CO.,"$2,992,813.65","$2,582,917.00","$409,896.65",15.87%,0,2/3/2005
924A,C14632,"ASPHALT SPECIALTIES CO., INC.","$2,819,357.90","$2,582,917.00","$236,440.90",9.15%,0,2/3/2005
032A,C14632,"BRANNAN SAND AND GRAVEL, LLC","$2,674,299.60","$2,582,917.00","$91,382.60",3.54%,0,2/3/2005
159C,C14632,KIEWIT WESTERN CO.,"$2,962,778.20","$2,582,917.00","$379,861.20",14.71%,0,2/3/2005
163A,C14632,LAFARGE NORTH AMERICA INC.,"$3,966,678.80","$2,582,917.00","$1,383,761.80",53.57%,0,2/3/2005
S2881,C14632,"PREMIER PAVING, INC.","$2,679,657.90","$2,582,917.00","$96,740.90",3.75%,0,2/3/2005
,C14632 Average,,,,"$367,281.96",14.22%,,
017A,C14636,ASPHALT PAVING CO.,"$3,504,430.60","$2,701,476.00","$802,954.60",29.72%,0,2/3/2005
924A,C14636,"ASPHALT SPECIALTIES CO., INC.","$3,830,915.65","$2,701,476.00","$1,129,439.65",41.81%,0,2/3/2005
032A,C14636,"BRANNAN SAND AND GRAVEL, LLC","$3,377,861.80","$2,701,476.00","$676,385.80",25.04%,0,2/3/2005
159C,C14636,KIEWIT WESTERN CO.,"$3,305,627.05","$2,701,476.00","$604,151.05",22.36%,1,2/3/2005
,C14636 Average,,,,"$803,232.78",29.73%,,
017A,C14663,ASPHALT PAVING CO.,"$5,134,147.94","$4,409,407.90","$724,740.04",16.44%,0,2/3/2005
071A,C14663,COULSON EXCAVATING COMPANY INCORPORATED,"$4,138,752.09","$4,409,407.90","-$270,655.81",-6.14%,0,2/3/2005
159C,C14663,KIEWIT WESTERN CO.,"$4,850,372.00","$4,409,407.90","$440,964.10",10.00%,0,2/3/2005
163A,C14663,LAFARGE NORTH AMERICA INC.,"$5,188,370.11","$4,409,407.90","$778,962.21",17.67%,0,2/3/2005
,C14663 Average,,,,"$418,502.64",9.49%,,
005A,C14698,A and S CONSTRUCTION CO.,"$7,563,606.90","$5,936,906.20","$1,626,700.70",27.40%,0,2/3/2005
