Vendor,Bid Amount,CONT_ID,LEV2_OFFICE_NBR,DESC1,C_O_NBR,CD_DESC,APPR_DT,C_O_AMT,CHNG_DESC,C_O_T
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,007,Modifications With No CMO/MCR Required,20120606,"$4,300.00",Added field lab,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,008,Modifications With No CMO/MCR Required,20120607,"$3,000.00",FA for Century Link,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,009,Modifications With No CMO/MCR Required,20120607,$500.00,FA for Tetra Tech,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,010,Modifications With No CMO/MCR Required,20120606,"$10,079.59",FA Trench Box Invoice,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,011,Modifications With No CMO/MCR Required,20120607,"$3,000.00",F/A Xcel Gas,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,012,Modifications With No CMO/MCR Required,20120607,"$1,516.89",F/A Level 3,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,013,Modifications With No CMO/MCR Required,20120607,$419.37,F/A Added CBC Removal,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,018,Modifications With No CMO/MCR Required,20120815,$1.00,BVSD Fiber Line,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,019,Modifications With No CMO/MCR Required,20120911,"$13,350.00",Vibration Monitoring,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,014,Modifications With No CMO/MCR Required,20120702,"$15,000.00",Added Field Lab,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,015,Modifications With No CMO/MCR Required,20120716,"$3,275.03",Xcel electric,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,016,Modifications With No CMO/MCR Required,20120716,"$1,287.97",Comcast,00
