Contract ID,Bid Days,Time Type,Start Date,Accepted Date,Days Charged
C12287,396,WORK DAYS,20020923,20061110,412
C12304,120,WORK DAYS,20010212,20011031,74
C12305,100,WORK DAYS,20010806,20020429,105
C12306,80,WORK DAYS,20010521,20011016,80
C12658,250,WORK DAYS,19990816,20001102,242
C12685,90,WORK DAYS,20010115,20010625,88
C12694,35,WORK DAYS,20000426,20020509,69
C12710,350,WORK DAYS,20011130,20031015,324
C13074,50,WORK DAYS,20000710,20010830,71
C13076,290,WORK DAYS,20031125,20050926,326
C13083,40,WORK DAYS,20000710,20030423,44
C13085,90,WORK DAYS,20010709,20020903,149
C11795R,95,WORK DAYS,19980810,19990827,93
C11805,343,FIXED COMPLETION DATE,20000824,20010801,227
C11825R,280,WORK DAYS,19990223,20000816,314
C11835,1081,CALENDAR DAYS,19981130,20031031,841
C12021,100,WORK DAYS,20030401,20031003,98
C12022,120,WORK DAYS,20040517,20041215,122
C12023,150,WORK DAYS,20000330,20010119,180
C12053,60,WORK DAYS,19980722,19990505,72
C12519S,80,WORK DAYS,20010501,20020225,80
C12522,270,WORK DAYS,20000918,20011015,272
C12523,270,WORK DAYS,20011001,20030509,270
C12524,220,WORK DAYS,20010607,20020819,236
C12877,80,WORK DAYS,20000522,20010413,85
C12880,184,FIXED COMPLETION DATE,20000301,20010313,8
C12963,390,WORK DAYS,20000315,20030117,427
C12966,150,WORK DAYS,20040920,20051027,157
C11266,1072,FIXED COMPLETION DATE,19970818,20000825,121
C11319,80,WORK DAYS,19960701,19961218,86
C11334R,25,WORK DAYS,19970902,19971030,7
C12056,820,CALENDAR DAYS,20001010,20030916,761
C12109,110,WORK DAYS,19990518,20010621,127
C12116,70,WORK DAYS,19980526,20011029,90
C12124,110,WORK DAYS,20020419,20030703,141
C12534,270,WORK DAYS,20010821,20040602,250
C12541,1150,CALENDAR DAYS,20000905,20020713,717
C12542,1004,CALENDAR DAYS,20001002,20050408,1311
C12548,80,WORK DAYS,20020506,20030507,207
C12969,90,WORK DAYS,20000324,20001121,17
C12970,100,WORK DAYS,20000601,20010618,143
C12982,240,WORK DAYS,20000501,20041201,484
C13008,80,WORK DAYS,20010409,20011220,94
C11352,82,FIXED COMPLETION DATE,19990211,19990521,5
C11478,360,WORK DAYS,19990602,20010330,248
C11487,120,WORK DAYS,19990907,20011113,191
C12146,380,CALENDAR DAYS,19990802,20020829,1128
C12153,603,FIXED COMPLETION DATE,20001206,20020823,611
C12154,90,WORK DAYS,20000612,20010720,136
C12168,660,FIXED COMPLETION DATE,20010312,20030228,241
C12567,35,WORK DAYS,20000905,20001204,48
C12583,845,CALENDAR DAYS,20000320,20021122,984
C12589,40,WORK DAYS,19990524,19990901,24
C12602,80,WORK DAYS,19990815,19991109,50
C13009,200,WORK DAYS,20000801,20020927,234
C13017,130,WORK DAYS,20020930,20030716,123
C13018R,100,WORK DAYS,20000807,20010914,109
C13024,198,FIXED COMPLETION DATE,20000425,20000911,6
C11490R,125,WORK DAYS,19971103,20001204,208
C11491,70,WORK DAYS,19970506,19970821,58
C11508,500,CALENDAR DAYS,19970714,19990824,758
C11543,110,WORK DAYS,20000714,20010621,94
C12312,135,WORK DAYS,20000410,20010516,141
C12317,523,FIXED COMPLETION DATE,20000522,20011026,387
C12319,265,WORK DAYS,20010830,20030616,265
C12322R,300,WORK DAYS,20050301,20070731,317
C12711,200,WORK DAYS,20031219,20050104,190
C12713,627,FIXED COMPLETION DATE,20000912,20030131,108
C12718,140,WORK DAYS,20000329,20010509,153
C12719,20,WORK DAYS,20020819,20021121,13
C13086,235,WORK DAYS,20021007,20040219,198
C13087,366,FIXED COMPLETION DATE,20010815,20021028,40
C13092,97,FIXED COMPLETION DATE,20000714,20001024,13
C13094,489,FIXED COMPLETION DATE,20030501,20041104,175
C11838,220,WORK DAYS,19990510,20000713,183
C11846,360,WORK DAYS,19981116,20070208,415
C11848,460,WORK DAYS,20001001,20030619,401
C11849,180,WORK DAYS,20000605,20010706,180
C12324,345,WORK DAYS,20030908,20050916,356
C12359,180,WORK DAYS,19990907,20000922,174
C12362,45,WORK DAYS,20000918,20010710,53
C12369,960,CALENDAR DAYS,20031215,20080630,987
C12727,50,WORK DAYS,20000918,20010418,79
C12731,135,FIXED COMPLETION DATE,20000519,20001031,44
C12737,50,WORK DAYS,20000724,20010608,63
C12761,112,WORK DAYS,20020722,20030716,161
C13096,95,WORK DAYS,20000607,20010628,104
C13104,60,WORK DAYS,20000606,20010508,67
C13106,30,WORK DAYS,20010625,20010801,29
C13108,60,WORK DAYS,20010907,20020612,51
C11850,250,WORK DAYS,19981207,20011215,282
C11861,218,FIXED COMPLETION DATE,20000414,20010611,18
C11865,300,WORK DAYS,19991130,20010730,311
C11911,120,WORK DAYS,20010521,20020830,146
C12379,150,WORK DAYS,20010523,20020516,173
C12380,175,WORK DAYS,20011024,20020919,187
C12389,45,WORK DAYS,20000612,20001120,46
C12390,400,WORK DAYS,20011107,20030702,396
C12762,50,WORK DAYS,20010331,20020228,45
C12768,53,FIXED COMPLETION DATE,20000926,20010611,9
C12778,95,WORK DAYS,20010604,20011029,100
C12793R,271,FIXED COMPLETION DATE,20010925,20020612,15
C10592,128,WORK DAYS,19990412,20010322,178
C10605,650,CALENDAR DAYS,19970106,20000622,702
C10677,220,WORK DAYS,19991117,20020429,208
C10700,75,CALENDAR DAYS,19980615,19990802,163
C11918,380,WORK DAYS,19980622,20010615,487
C11923,135,WORK DAYS,19990527,20011203,152
C11925,680,WORK DAYS,20011119,20050506,699
C11931,303,WORK DAYS,19980803,20000607,372
C12399,60,WORK DAYS,20000912,20011009,93
C12401,80,WORK DAYS,20010430,20020423,114
C12404,80,WORK DAYS,20020911,20030613,81
C12405,30,WORK DAYS,20010529,20011218,53
C12801,45,WORK DAYS,20010501,20010921,53
C12803,150,WORK DAYS,20030929,20050214,187
C12811,85,WORK DAYS,20050404,20050913,93
C12813,45,WORK DAYS,19990816,20000302,68
C10717,90,CALENDAR DAYS,19960325,20010415,293
C10785,150,WORK DAYS,20001031,20021212,145
C10786,180,WORK DAYS,20000315,20010110,181
C10827,465,CALENDAR DAYS,19970313,19981210,465
C11951,700,CALENDAR DAYS,19981207,20010720,961
C11955,446,FIXED COMPLETION DATE,20010326,20021104,424
C11959,300,WORK DAYS,20000403,20020211,284
C11964,705,WORK DAYS,20001211,20040728,716
C12391,200,WORK DAYS,20010927,20030127,208
C12393,130,WORK DAYS,20010312,20011023,127
C12394,200,WORK DAYS,20020415,20031014,212
C12395,100,WORK DAYS,20030519,20040121,113
C12794,311,FIXED COMPLETION DATE,20031009,20040814,149
C12797,380,FIXED COMPLETION DATE,20040513,20050610,78
C12798,75,WORK DAYS,20020311,20020801,71
C12800R,333,FIXED COMPLETION DATE,20021210,20031212,50
C10840,215,FIXED COMPLETION DATE,19990301,19991112,10
C10942,85,WORK DAYS,19950814,19960827,109
C11041,375,WORK DAYS,19970512,20021028,619
C11932,520,WORK DAYS,19980616,20021230,538
C11942,265,WORK DAYS,19981103,20011101,336
C11944R,250,WORK DAYS,19990510,20021220,350
C12414,180,WORK DAYS,20000912,20010921,139
C12418,250,WORK DAYS,20040304,20070117,247
C12421,120,WORK DAYS,20030623,20040519,112
C12460,441,FIXED COMPLETION DATE,20040216,20060928,22
C12635,532,FIXED COMPLETION DATE,20011031,20021025,47
C12815R,126,FIXED COMPLETION DATE,20010126,20010604,131
C12829,160,WORK DAYS,20011107,20021101,177
C12833,95,WORK DAYS,20030923,20040729,112
C12834,250,WORK DAYS,20020729,20031110,241
C10028,30,WORK DAYS,19930706,19931019,30
C10165,10,WORK DAYS,19940622,19940901,13
C11970,305,WORK DAYS,19990706,20010622,330
C11982,45,WORK DAYS,19980621,20011019,62
C11985,110,WORK DAYS,20010212,20011003,116
C12475,180,CALENDAR DAYS,20020813,20031009,270
C12482,450,CALENDAR DAYS,19991214,20010718,451
C12487,150,WORK DAYS,20020301,20030711,153
C12489,180,CALENDAR DAYS,20010625,20020401,162
C12844,150,CALENDAR DAYS,20000522,20010507,281
C12847,340,WORK DAYS,20001115,20020927,335
C12851,640,CALENDAR DAYS,20001026,20021224,785
C12858,220,WORK DAYS,20001003,20011109,239
